"CountryArea","Year","Item","Value"
"Afghanistan","1986","Final consumption expenditure","2971971382.78064"
"Afghanistan","1986","Household consumption expenditure (including Non-profit institutions serving households)","2771613476.12739"
"Afghanistan","1986","General government final consumption expenditure","200357906.653245"
"Afghanistan","1986","Gross capital formation","443222824.700543"
"Afghanistan","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","443222824.700543"
"Afghanistan","1986","Exports of goods and services","382043355.409468"
"Afghanistan","1986","Imports of goods and services","476637670.314584"
"Afghanistan","1986","Gross Domestic Product (GDP)","3320599991.39107"
"Afghanistan","1985","Final consumption expenditure","2972943050.43864"
"Afghanistan","1985","Household consumption expenditure (including Non-profit institutions serving households)","2772521408.1104"
"Afghanistan","1985","General government final consumption expenditure","200421642.328245"
"Afghanistan","1985","Gross capital formation","443208634.866543"
"Afghanistan","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","443208634.866543"
"Afghanistan","1985","Exports of goods and services","382937176.610469"
"Afghanistan","1985","Imports of goods and services","477188959.199584"
"Afghanistan","1985","Gross Domestic Product (GDP)","3321900001.53107"
"Afghanistan","1984","Final consumption expenditure","3006622795.20454"
"Afghanistan","1984","Household consumption expenditure (including Non-profit institutions serving households)","2803929301.48472"
"Afghanistan","1984","General government final consumption expenditure","202693513.482826"
"Afghanistan","1984","Gross capital formation","449357823.553663"
"Afghanistan","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","449357823.553663"
"Afghanistan","1984","Exports of goods and services","386363519.300705"
"Afghanistan","1984","Imports of goods and services","481898373.124645"
"Afghanistan","1984","Gross Domestic Product (GDP)","3360445863.74926"
"Afghanistan","1983","Final consumption expenditure","3043752183.91206"
"Afghanistan","1983","Household consumption expenditure (including Non-profit institutions serving households)","2838555870.45566"
"Afghanistan","1983","General government final consumption expenditure","205196313.456398"
"Afghanistan","1983","Gross capital formation","453112147.684258"
"Afghanistan","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","453112147.684258"
"Afghanistan","1983","Exports of goods and services","390619627.835278"
"Afghanistan","1983","Imports of goods and services","488045046.84971"
"Afghanistan","1983","Gross Domestic Product (GDP)","3399439011.39688"
"Afghanistan","1982","Final consumption expenditure","3077042975.4906"
"Afghanistan","1982","Household consumption expenditure (including Non-profit institutions serving households)","2869602593.26075"
"Afghanistan","1982","General government final consumption expenditure","207440362.466853"
"Afghanistan","1982","Gross capital formation","458233728.875114"
"Afghanistan","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","458233728.875114"
"Afghanistan","1982","Exports of goods and services","398734137.357697"
"Afghanistan","1982","Imports of goods and services","495126346.784407"
"Afghanistan","1982","Gross Domestic Product (GDP)","3438884593.754"
"Afghanistan","1981","Final consumption expenditure","3109967280.15748"
"Afghanistan","1981","Household consumption expenditure (including Non-profit institutions serving households)","2900307023.57233"
"Afghanistan","1981","General government final consumption expenditure","209660256.585151"
"Afghanistan","1981","Gross capital formation","468307978.588356"
"Afghanistan","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","468307978.588356"
"Afghanistan","1981","Exports of goods and services","396811030.541611"
"Afghanistan","1981","Imports of goods and services","496298514.891528"
"Afghanistan","1981","Gross Domestic Product (GDP)","3478787915.8675"
"Afghanistan","1980","Final consumption expenditure","3267891072.85426"
"Afghanistan","1980","Household consumption expenditure (including Non-profit institutions serving households)","3047584397.6768"
"Afghanistan","1980","General government final consumption expenditure","220306675.177459"
"Afghanistan","1980","Gross capital formation","480714719.386957"
"Afghanistan","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","480714719.386957"
"Afghanistan","1980","Exports of goods and services","417730004.148886"
"Afghanistan","1980","Imports of goods and services","524612443.809889"
"Afghanistan","1980","Gross Domestic Product (GDP)","3641723443.22321"
"Afghanistan","1979","Final consumption expenditure","3302299763.19657"
"Afghanistan","1979","Household consumption expenditure (including Non-profit institutions serving households)","3079673433.88028"
"Afghanistan","1979","General government final consumption expenditure","222626329.316292"
"Afghanistan","1979","Gross capital formation","492313911.018009"
"Afghanistan","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","492313911.018009"
"Afghanistan","1979","Exports of goods and services","440326651.517816"
"Afghanistan","1979","Imports of goods and services","537000038.506803"
"Afghanistan","1979","Gross Domestic Product (GDP)","3697940355.8272"
"Afghanistan","1978","Final consumption expenditure","2942222152.89524"
"Afghanistan","1978","Household consumption expenditure (including Non-profit institutions serving households)","2743870597.5365"
"Afghanistan","1978","General government final consumption expenditure","198351555.358735"
"Afghanistan","1978","Gross capital formation","457777778.841281"
"Afghanistan","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","457777778.841281"
"Afghanistan","1978","Exports of goods and services","357777772.352001"
"Afghanistan","1978","Imports of goods and services","457777778.841281"
"Afghanistan","1978","Gross Domestic Product (GDP)","3300000103.03123"
"Afghanistan","1977","Final consumption expenditure","2680000053.9085"
"Afghanistan","1977","Household consumption expenditure (including Non-profit institutions serving households)","2499326383.12531"
"Afghanistan","1977","General government final consumption expenditure","180673670.78319"
"Afghanistan","1977","Gross capital formation","366666660.830026"
"Afghanistan","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","366666660.830026"
"Afghanistan","1977","Exports of goods and services","344444439.634964"
"Afghanistan","1977","Imports of goods and services","437777790.877224"
"Afghanistan","1977","Gross Domestic Product (GDP)","2953333407.94226"
"Afghanistan","1976","Final consumption expenditure","2248888962.72429"
"Afghanistan","1976","Household consumption expenditure (including Non-profit institutions serving households)","2097278863.37832"
"Afghanistan","1976","General government final consumption expenditure","151610077.122971"
"Afghanistan","1976","Gross capital formation","348888883.873976"
"Afghanistan","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","348888883.873976"
"Afghanistan","1976","Exports of goods and services","337777784.387945"
"Afghanistan","1976","Imports of goods and services","380000015.770062"
"Afghanistan","1976","Gross Domestic Product (GDP)","2555555570.77015"
"Afghanistan","1975","Final consumption expenditure","2173333410.66108"
"Afghanistan","1975","Household consumption expenditure (including Non-profit institutions serving households)","2026816933.80091"
"Afghanistan","1975","General government final consumption expenditure","146516476.860168"
"Afghanistan","1975","Gross capital formation","231111100.428647"
